Course Subject
Electrical(Power Supply) Engineering
Electrical/Electronics Engineering
Electronic and Electrical Engineering
Electronics & Computer Engineering
Electronics Engineering
Electronics and Electrical Engineering
Electronics and Telecommunications Engineering
Electronics/Computer Engineering
Energy and Applied Chemistry
Engineering
Engineering and Environmental Design
Engineering and Technology
English
English Education
English Language
English Language Education
English Language and Literature
English Literature
English Studies
English and Literary Studies
English and Literature
Entrepreneurial Studies
Entrepreneurship
Entrepreneurship and Industrial Extension
Entrepreneurship and Innovation
Environment Health Science
Environmental Design
Environmental Design and Management
Environmental Engineering
Environmental Health Science
Environmental Health Sciences (B.EHS)
Environmental Management
Environmental Management and Evaluation
Environmental Management and Toxicology
Environmental Sciences
Environmental Studies
Environmental and Resource Management
Epidemiology & Community Health
Estate Management
Estate Management and Valuation
European Studies(French)
European Studies(German)
European Studies(Russian)
Experimental Pharmacology and Toxicology
Faculties
Faculty of Administration
Faculty of Agricultural Sciences
Faculty of Agriculture
Faculty of Allied Health Sciences
Faculty of Arts
Faculty of Arts and Social Sciences
Faculty of Basic Clinical Sciences
Faculty of Basic Medical Science
Faculty of Basic Medical Sciences
Faculty of Biosciences
Faculty of Clinical Sciences
Faculty of Communication and Media Studies
Faculty of Computing and Informatics
Faculty of Dentistry
Faculty of Education
Faculty of Engineering
Faculty of Engineering and Technology
Faculty of Environmental Design and Management
Faculty of Environmental Sciences
Faculty of Food and Consumer Sciences
Faculty of Health Sciences and Technology
Faculty of Law
Faculty of Management Sciences
Faculty of Medical Laboratory Sciences
Faculty of Medicine
Faculty of Nursing Sciences
Faculty of Pharmaceutical Sciences
Faculty of Pharmacy
Faculty of Physical Sciences
Faculty of Pure and Applied Sciences
Faculty of Renewable Natural Resources
Faculty of Science
Faculty of Sciences
Faculty of Social Sciences
Faculty of Technology
Family Medicine
Family Nutrition and Consumer Sciences
Film Production
Film and Multimedia Studies
Finance
Fine Arts
Fine Arts and Design
Fine and Applied Arts
Fisheries
Fisheries & Aquatic Biology
Fisheries and Aquaculture
Fisheries and Aquaculture Technology
Fisheries and Aquaculture.
Food Engineering
Food Nutrition and Home Science
Food Science
Food Science and Nutrition
Food Science and Technology
Food Technology
Food and Bioprocess Engineering
Food and Science Technology
Foreign Language and Literature
Foreign Languages
Forensic Science
Forest Production and Products(formerly Forest Resources Management)
Forest Resource Management
Forest Resources Management
Forest Resources and Wildlife Management
Forestry And Wildlife Management
Forestry and Environment
Forestry and Wild Life Management
Forestry and Wildlife
Forestry and Wildlife Management
Forestry and Wildlife Technology
French
French Education
General Studies
Genetics and Biotechnology
Geography
Geography & Planning
Geography Education
Geography and Environmental Management
Geography and Meteorology
Geography and Regional Planning
Geoinformatics and Surveying
Geological Sciences
Geology
Geology and Mineral Science
Geomatics
Geophysics
Glass and Silicate Technology
Guidance & Counselling
Guidance and Counseling
Haematology & Blood Transfusion
Haematology and Blood Transfusion
Haematology and Immunology
"Haematology, Blood Transfusion and Immunology"
Hausa
Hausa Education
Health Administration and Management
Health Education
Health Promotion and Environmental Health
Health Sciences
"Health, Safety, and Environmental Education(Environmental Education)"
"Health, Safety, and Environmental Education(Health Education)"
Heamatology
Heamatology and Blood Transfusion
Hematology and Immunology
Histopathology
History
History & International Studies
History Education
History and Diplomatic Studies
History and International Studies
Home Economics
Home Economics and Food Science
Home Economics and Hospitality Management Education
Home Science and Management
Horticulture
Hospitality Management and Tourism
Hospitality and Tourism
Hospitality and Tourism Management
Human Anatomy
Human Biochemistry
Human Kinetics
Human Kinetics & Health Education
Human Kinetics Education
Human Kinetics and Health Education
Human Kinetics and Sports Science
Human Nutrition and Dietetics
Human Physiology
Human Resources Management
Humanities
"Igbo, African and Communication Studies"
Industrial & Production Engineering
Industrial Chemistry
Industrial Design
Industrial Engineering and Production
Industrial Physics
Industrial Relations & Personnel Management
Industrial Technical Education
Industrial and Technology Education
Industrial/Production Engineering
Information Science and Media Studies
Information Systems
Information Technology
Information and Communication Technology
Information and Media Studies
Insurance
Integrated Science
Internal Medicine
International Law
International Law and Jurisprudence
International Relations
International Studies
International and Comparative Law
Islamic Law
Islamic Religious Studies
Islamic Studies
Islamic Studies Education
Islamic Studies and Shari'ah
Journalism and Media Studies
Jurisprudence & International Law
Jurisprudence and International Law
Jurisprudence and Legal Theory Law
Jurisprudence and Private Law
LLB with Specialization in Islamic Law
Law
Library & Information Science
Library Science
Library and Information Science
Library and Information Science Education
"Library, Archival and Information Studies"
Life Sciences
Linguistics
Linguistics & African Languages(Igbo)
Linguistics & African Languages(Linguistics)
Linguistics & African Languages(Yoruba)
Linguistics & Nigerian Languages
Linguistics Studies
Linguistics and African Languages
Linguistics and Communication Studies
Linguistics and Foreign Languages
Linguistics and Languages
Linguistics and Nigerian Languages
Local Government Development & Administration
Local Government and Development Studies
Logistics and Transport Management
Logistics and Transport Technology
Management
Management Sciences
Management and Accounting
Maritime Technology and Logistics
Marketing
Marketing and Consumer Studies
Mass Communication
"Mass Communication (Television Journalism, NTA College Jos)"
"Mass Communication (Television Production, NTA College Jos)"
Material Engineering
Materials and Metallurgical Engineering
Maternal and Child Health Nursing
Mathematical Science
Mathematics
Mathematics Education
Mathematics and Statistics
Mechanical Engineering
Mechatronics Engineering
Medical Biochemistry
Medical Lab Science
Medical Laboratory Science
Medical Laboratory Sciences
Medical Library
Medical Microbiology
Medical Microbiology & Parasitology
Medical Microbiology and Parasitology
Medical Pharmacology and Therapeutics
Medical Radiography
Medical Radiography and Radiology Science
Medical Rehabilitation
Medical Science
Medical/Surgical Nursing
Medicine
Medicine & Surgery
Medicine and Surgery
Mental Health
Mental Health/Psychiatric Nursing
Metallurgical and Materials Engineering
Metallurgical/Material Engineering
Microbiology
Mining and Materials Engineering
Modern European Languages
Morbid Anatomy
Morbid Anatomy and Forensic Medicine
Morbid Anatomy and Histopathology
Music
Nigerian Languages
Nursing
Nursing Science
Nursing Sciences
Nutrition and Dietetics
Obstetrics & Gynaecology
Obstetrics and Gynaecology
"Obstetrics, Gynaecology, and Perimatology"
Ophthalmology
Opthalmology
Optometry
Optometry and Vision Science
Oral Diagnosis and Radiology
Oral Diagnostic Science
Oral Pathology and Oral Biology
Oral Pathology and Oral Medicine
Oral Surgery/Pathology
Oral and Maxillofacial
Oral and Maxillofacial Pathology/Oral Medicine
Oral and Maxillofacial Surgery
Orthopaedic and Trauma
Orthopaedics and Traumatology
Otorhinolaryngology
Paediatric Surgery
Paediatrics
Paediatrics and Child Health
Parasitology and Entomology
Pasture and Range Management
Pathology
Pathology and Forensic Medicine
Peace Studies
Peace and Conflict Studies
Pediatrics
Pediatrics and Child Health
Perfoming Arts
Periodontics Dentistry
Petroleum Engineering
Petroleum and Gas Engineering
Pharmaceutical & Medicinal Chemistry
Pharmaceutical Chemistry
Pharmaceutical Medicinal Chemistry
Pharmaceutical Microbiology & Biotechnology
Pharmaceutical Microbiology and Biotechnology
Pharmaceutical Mircrobiology and Biotechnology
Pharmaceutical Sciences
Pharmaceutical Technology and Industrial Pharmacy
Pharmaceutical and Medicinal Chemistry
Pharmaceutics
Pharmaceutics & Industrial Pharmacy
Pharmaceutics and Pharmaceutical Microbiology
Pharmaceutics and Pharmaceutical Technology
Pharmacognocy and Herbal Medicine
Pharmacognosy
Pharmacognosy & Drug Development
Pharmacognosy & Herbal Medicine
Pharmacognosy & Phytotherapy
Pharmacognosy and Environmental Medicine
Pharmacognosy and Ethno Pharmacy
Pharmacognosy and Traditional Medicine
Pharmacology
Pharmacology & Therapeutics
Pharmacology & Toxicology
Pharmacology and Pharmaceutical Technology
Pharmacology and Therapeutics
Pharmacology and Toxicology
"Pharmacology, Therapeutics and Toxicology"
Pharmacology/Therapeutics
Pharmacy
Pharmeceutical and Medical Chemistry
Philosophy
Physical & Health Education
Physical Sciences
Physical and Computing Sciences
Physical and Health Education
Physics
Physics Education
Physics and Astronomy
Physiological Sciences
Physiology
Physiotherapy
Plant Biology
Plant Biology and Biotechnology
Plant Biology(Biotechnology)
Plant Biology(Botany)
Plant Breeding and Seed Technology
Plant Physiology and Crop Production
Plant Science
Plant Science & Biotechnology
Plant Science and Biotechnology
Political Science
Political Science Education
Political and Administrative Studies
Polymer and Textile Engineering
Polymer/Textile Engineering
Portuguese / English
Preventive
Preventive Dentistry
Preventive and Community Dentistry
Preventive and Social Medicine
Private & Property Law
Private Law
Private and Business Law
Private and Commercial Law
Private and Property Law
Production Engineering
Project Management Technology
Property Law
Prosthetics and Orthotics
Psychiatry
Psychological Medicine
Psychology
Public Administration
Public Administration and Local Government
Public Health Technology
Public Law
Public Law and Jurisprudence
Public Relations and Advertising
Public/Community Health Nursing
Pure and Applied Biology
Pure and Applied Botany
Pure and Applied Chemistry
Pure and Applied Mathematics
Pure and Applied Physics
Pure and Applied Zoology
Pure and Environmental Chemistry
Pure and Industrial Chemistry
Quantity Survey
Quantity Surveying
Quran and Hadith Studies
Radiation Medicine
Radiography
Radiography & Radiation Science
Radiology
Radiology and Radiation Science
Religion
Religion and Cultural Studies
Religion and Human Relations
Religious & Cultural Studies
Religious Studies
Renewable & Natural Resources
Restorative
Restorative Dentistry
School of Agriculture
School of Agriculture and Agricultural Technology
School of Basic Medical Science
School of Biological Science
School of Electrical Systems and Engineering Technology
School of Electrical and Engineering Technology
School of Engineering and Engineering Technology
School of Environmental Sciences
School of Environmental Technology
School of Health Technology
School of Information and Communication Technology
"School of Infrastructure, Process Engineering and Technology"
School of Innovative Technology
"School of Library, Archival, and Information Science"
School of Life Sciences
School of Logistics and Innovation Technology
School of Physical Sciences
School of Science and Technology Education
School of Transport and Logistics
Science
Science Education
Science Laboratory Technology
Science and Technology Education
Science and Vocational Education
Shari'ah Studies
Social And Enviromental Forest(formerly Forest Resources Management)
Social Science
Social Science Education
Social Science and Administration
Social Sciences
Social Studies Education
Social Work
Sociology
Sociology & Anthropology
Sociology and Anthropology
Software Engineering
Soil Resources Management(formerly Agronomy)
Soil Science
Soil Science and Agricultural Engineering
Soil Science and Land Management
Soil Science and Land Resources Management
Soil Science and Technology
Special Education
Special Needs Education
Statistics
Supply Chain Management
Surgery
Surgery and Oral Pathology
Survey and Geo-Informatics
Surveying and Geo-Informatics
Surveying and Geoinformatics
Taxation
Technology
Technology and Vocational Education
Telecommunication Engineering
Telecommunication Sciences
Telecommunications Engineering
Theatre Art and Film
Theatre Arts
Theatre and Film Studies
Theatre and Films Arts
Theatre and Media Arts
Theatre and Performing Arts
Theatre and Performing Arts.
Theriogenology and Animal Production
Transport Management
Transport Management & Operations
Urban & Regional Planning
Urban and Regional Planning
Veterinary Anatomy
Veterinary Animal Health and Production
Veterinary Biochemistry
Veterinary Medicine
Veterinary Medicine and Surgery
Veterinary Microbiology
Veterinary Obstetrics (Reproductive diseases)
Veterinary Obstetrics and Reproductive Diseases
Veterinary Parasitology
Veterinary Parasitology and Entomology
Veterinary Pathobiology
Veterinary Pathology
Veterinary Pathology and Microbiology
Veterinary Pharmacology and Toxicology
Veterinary Physiology and Biochemistry
Veterinary Physiology and Pharmacology
Veterinary Public Health and Preventive Medicine
Veterinary Surgery & Radiology
Veterinary Surgery and Radiology
Veterinary Surgery and Theriogenology
Veterinary Teaching Hospital
Veterinary Theriogenology and Production
Vocational Technical Education
Water Resources & Environmental Engineering
Water Resources Management and Agro meteorology
Water Resources Management and Agro-Meteorology
Water Resources and Environmental Engineering
"Water Resources, Aquaculture, and Fisheries Technology"
Wildlife & Ecotourism Management
Wildlife and Ecotourism Management
Wood Products Engineering
Yoruba
Yoruba Education
Zoology
Zoology and Environmental Biology
